DeviceDateTime,Longitude,Latitude,Speed,Di1,Di2,Di3
28:29.0,21.164443,42.66716,0,1,0,1
28:39.0,21.164818,42.666718,35,1,0,1
28:48.0,21.165038,42.666275,4,1,0,1
28:58.0,21.165043,42.666263,0,1,0,1
29:08.0,21.165043,42.666263,0,1,0,1
29:18.0,21.165082,42.666113,15,1,0,1
29:28.0,21.165117,42.665702,36,1,0,1
29:38.0,21.16504,42.664592,42,1,0,1
29:48.0,21.164873,42.66325,66,1,0,1
29:58.0,21.164867,42.661908,33,1,0,1
30:08.0,21.164867,42.6612,21,1,0,1
30:18.0,21.16485,42.660918,19,1,0,1
30:20.0,21.164865,42.66086,6,1,0,1
30:24.0,21.16494,42.66088,10,1,0,1
30:34.0,21.16518,42.661145,21,1,0,1
30:44.0,21.166087,42.660887,36,1,0,1
30:54.0,21.167132,42.66068,12,1,0,1
31:04.0,21.167838,42.660535,26,1,0,1
31:14.0,21.168648,42.660322,34,1,0,1
31:24.0,21.16964,42.660143,6,1,0,1
31:34.0,21.16967,42.660133,0,1,0,1
31:44.0,21.169875,42.660102,17,1,0,1
31:54.0,21.170107,42.660053,0,1,0,1
32:03.0,21.170107,42.660053,0,1,1,1
32:13.0,21.170283,42.660023,18,1,1,1
32:14.0,21.170348,42.66,22,1,1,0
32:24.0,21.171338,42.659792,20,1,1,0
32:34.0,21.172685,42.659712,53,1,1,0
32:44.0,21.174532,42.65962,43,1,1,0
32:54.0,21.176207,42.659415,60,1,1,0
33:04.0,21.1778,42.659203,34,1,1,0
33:14.0,21.178868,42.659272,29,1,1,0
33:24.0,21.179548,42.65926,34,1,1,0
33:34.0,21.180733,42.65924,18,1,1,0
33:44.0,21.181492,42.659153,14,1,1,0
33:54.0,21.1818,42.659112,8,1,1,0
34:02.0,21.18226,42.658983,9,1,1,1
34:06.0,21.182288,42.65897,0,1,0,1
34:16.0,21.182288,42.65897,0,1,0,1
34:22.0,21.18233,42.658993,6,1,0,1
34:26.0,21.18227,42.659048,8,1,0,1
34:36.0,21.181612,42.6592,21,1,0,1
34:46.0,21.18081,42.659293,22,1,0,1
34:56.0,21.17979,42.659333,30,1,0,1
35:06.0,21.179117,42.65934,8,1,0,1
35:16.0,21.178492,42.65932,23,1,0,1
35:26.0,21.177825,42.659275,11,1,0,1
35:29.0,21.17772,42.659222,13,1,0,1
35:39.0,21.177652,42.658865,5,1,0,1
35:49.0,21.177815,42.658602,20,1,0,1
35:59.0,21.177667,42.658015,21,1,0,1
36:09.0,21.177753,42.657532,18,1,0,1
36:19.0,21.177727,42.657425,16,1,0,1
36:29.0,21.177445,42.656912,28,1,0,1
36:39.0,21.177048,42.656332,35,1,0,1
36:49.0,21.176888,42.65586,9,1,0,1
36:59.0,21.17747,42.655617,15,1,0,1
37:09.0,21.177797,42.655513,7,1,0,1
37:18.0,21.17806,42.655378,15,1,0,1
37:21.0,21.178013,42.655263,18,1,0,1
37:32.0,21.177278,42.654608,28,1,0,1
37:42.0,21.177132,42.654432,12,1,0,1
37:52.0,21.176772,42.654085,25,1,0,1
38:02.0,21.176063,42.653212,49,1,0,1
38:12.0,21.175492,42.652682,6,1,0,1
38:19.0,21.175298,42.652533,18,1,0,1
38:29.0,21.175242,42.652177,28,1,0,1
38:39.0,21.17472,42.651405,20,1,0,1
38:42.0,21.174535,42.65135,19,1,0,1
38:52.0,21.17369,42.651423,25,1,0,1
38:57.0,21.173477,42.651457,7,1,0,1
39:07.0,21.173432,42.651698,6,1,0,1
