DeviceDateTime,Longitute,Latitude,Speed,Di1,Di2,Di3
1/10/2023 0:02,21.139063,42.673867,0,0,0,1
1/10/2023 0:08,21.139063,42.673867,0,0,0,1
1/10/2023 0:14,21.139063,42.673867,0,0,0,1
1/10/2023 0:20,21.139063,42.673867,0,0,0,1
1/10/2023 0:25,21.139063,42.673867,0,0,0,1
1/10/2023 0:31,21.139063,42.673867,0,0,0,1
1/10/2023 0:37,21.139063,42.673867,0,0,0,1
1/10/2023 0:43,21.139063,42.673867,0,0,0,1
1/10/2023 0:49,21.139063,42.673867,0,0,0,1
1/10/2023 0:55,21.139063,42.673867,0,0,0,1
1/10/2023 1:00,21.139063,42.673867,0,0,0,1
1/10/2023 1:06,21.139063,42.673867,0,0,0,1
1/10/2023 1:12,21.139063,42.673867,0,0,0,1
1/10/2023 1:18,21.139063,42.673867,0,0,0,1
1/10/2023 1:24,21.139063,42.673867,0,0,0,1
1/10/2023 1:30,21.139063,42.673867,0,0,0,1
1/10/2023 1:35,21.139063,42.673867,0,0,0,1
1/10/2023 1:41,21.139063,42.673867,0,0,0,1
1/10/2023 1:47,21.139063,42.673867,0,0,0,1
1/10/2023 1:53,21.139063,42.673867,0,0,0,1
1/10/2023 1:59,21.139063,42.673867,0,0,0,1
1/10/2023 2:05,21.139063,42.673867,0,0,0,1
1/10/2023 2:10,21.139063,42.673867,0,0,0,1
1/10/2023 2:16,21.139063,42.673867,0,0,0,1
1/10/2023 2:22,21.139063,42.673867,0,0,0,1
1/10/2023 2:28,21.139063,42.673867,0,0,0,1
1/10/2023 2:34,21.139063,42.673867,0,0,0,1
1/10/2023 2:40,21.139063,42.673867,0,0,0,1
1/10/2023 2:45,21.139063,42.673867,0,0,0,1
1/10/2023 2:51,21.139063,42.673867,0,0,0,1
1/10/2023 2:57,21.139063,42.673867,0,0,0,1
1/10/2023 3:03,21.139063,42.673867,0,0,0,1
1/10/2023 3:09,21.139063,42.673867,0,0,0,1
1/10/2023 3:15,21.139063,42.673867,0,0,0,1
1/10/2023 3:20,21.139063,42.673867,0,0,0,1
1/10/2023 3:26,21.139063,42.673867,0,0,0,1
1/10/2023 3:32,21.139063,42.673867,0,0,0,1
1/10/2023 3:38,21.139063,42.673867,0,0,0,1
1/10/2023 3:44,21.139063,42.673867,0,0,0,1
1/10/2023 3:50,21.139063,42.673867,0,0,0,1
1/10/2023 3:55,21.139063,42.673867,0,0,0,1
1/10/2023 4:01,21.139063,42.673867,0,0,0,1
1/10/2023 4:07,21.139063,42.673867,0,0,0,1
1/10/2023 4:13,21.139063,42.673867,0,0,0,1
1/10/2023 4:19,21.139063,42.673867,0,0,0,1
1/10/2023 4:25,21.139063,42.673867,0,0,0,1
1/10/2023 4:30,21.139063,42.673867,0,0,0,1
1/10/2023 4:36,21.139063,42.673867,0,0,0,1
1/10/2023 4:42,21.139063,42.673867,0,0,0,1
1/10/2023 4:48,21.139063,42.673867,0,0,0,1
1/10/2023 4:54,21.139063,42.673867,0,0,0,1
1/10/2023 5:00,21.139063,42.673867,0,0,0,1
1/10/2023 5:05,21.139063,42.673867,0,0,0,1
1/10/2023 5:11,21.139063,42.673867,0,0,0,1
1/10/2023 5:17,21.139063,42.673867,0,0,0,1
1/10/2023 5:23,21.139063,42.673867,0,0,0,1
1/10/2023 5:29,21.139063,42.673867,0,0,0,1
1/10/2023 5:35,21.139063,42.673867,0,0,0,1
1/10/2023 5:40,21.139063,42.673867,0,0,0,1
1/10/2023 5:46,21.139063,42.673867,0,0,0,1
1/10/2023 5:52,21.139063,42.673867,0,0,0,1
1/10/2023 5:58,21.139063,42.673867,0,0,0,1
1/10/2023 6:04,21.139063,42.673867,0,0,0,1
1/10/2023 6:10,21.139063,42.673867,0,0,0,1
1/10/2023 6:15,21.139063,42.673867,0,0,0,1
1/10/2023 6:21,21.139063,42.673867,0,0,0,1
1/10/2023 6:27,21.139063,42.673867,0,0,0,1
1/10/2023 6:33,21.139063,42.673867,0,0,0,1
1/10/2023 6:39,21.139063,42.673867,0,0,0,1
1/10/2023 6:45,21.139063,42.673867,0,0,0,1
1/10/2023 6:50,21.139063,42.673867,0,0,0,1
1/10/2023 6:56,21.139063,42.673867,0,0,0,1
1/10/2023 7:02,21.139063,42.673867,0,0,0,1
1/10/2023 7:08,21.139063,42.673867,0,0,0,1
1/10/2023 7:14,21.139063,42.673867,0,0,0,1
1/10/2023 7:20,21.139063,42.673867,0,0,0,1
1/10/2023 7:25,21.139063,42.673867,0,0,0,1
1/10/2023 7:31,21.139063,42.673867,0,0,0,1
1/10/2023 7:37,21.139063,42.673867,0,0,0,1
1/10/2023 7:43,21.139063,42.673867,0,0,0,1
1/10/2023 7:49,21.139063,42.673867,0,0,0,1
1/10/2023 7:55,21.139063,42.673867,0,0,0,1
1/10/2023 8:00,21.139063,42.673867,0,0,0,1
1/10/2023 8:06,21.139063,42.673867,0,0,0,1
1/10/2023 8:12,21.139063,42.673867,0,0,0,1
1/10/2023 8:18,21.139063,42.673867,0,0,0,1
1/10/2023 8:24,21.139063,42.673867,0,0,0,1
1/10/2023 8:30,21.139063,42.673867,0,0,0,1
1/10/2023 8:35,21.139063,42.673867,0,0,0,1
1/10/2023 8:41,21.139063,42.673867,0,0,0,1
1/10/2023 8:47,21.139063,42.673867,0,0,0,1
1/10/2023 8:53,21.139063,42.673867,0,0,0,1
1/10/2023 8:59,21.139063,42.673867,0,0,0,1
1/10/2023 9:05,21.139063,42.673867,0,0,0,1
1/10/2023 9:10,21.139063,42.673867,0,0,0,1
1/10/2023 9:16,21.139063,42.673867,0,0,0,1
1/10/2023 9:22,21.139063,42.673867,0,0,0,1
1/10/2023 9:28,21.139063,42.673867,0,0,0,1
1/10/2023 9:34,21.139063,42.673867,0,0,0,1
1/10/2023 9:40,21.139063,42.673867,0,0,0,1
1/10/2023 9:45,21.139063,42.673867,0,0,0,1
1/10/2023 9:51,21.139063,42.673867,0,0,0,1
1/10/2023 9:57,21.139063,42.673867,0,0,0,1
1/10/2023 10:03,21.139063,42.673867,0,0,0,1
1/10/2023 10:09,21.139063,42.673867,0,0,0,1
1/10/2023 10:15,21.139063,42.673867,0,0,0,1
1/10/2023 10:20,21.139063,42.673867,0,0,0,1
1/10/2023 10:26,21.139063,42.673867,0,0,0,1
1/10/2023 10:32,21.139063,42.673867,0,0,0,1
1/10/2023 10:38,21.139063,42.673867,0,0,0,1
1/10/2023 10:44,21.139063,42.673867,0,0,0,1
1/10/2023 10:50,21.139063,42.673867,0,0,0,1
1/10/2023 10:55,21.139063,42.673867,0,0,0,1
1/10/2023 11:01,21.139063,42.673867,0,0,0,1
1/10/2023 11:07,21.139063,42.673867,0,0,0,1
1/10/2023 11:13,21.139063,42.673867,0,0,0,1
1/10/2023 11:19,21.139063,42.673867,0,0,0,1
1/10/2023 11:25,21.139063,42.673867,0,0,0,1
1/10/2023 11:30,21.139063,42.673867,0,0,0,1
1/10/2023 11:36,21.139063,42.673867,0,0,0,1
1/10/2023 11:42,21.139063,42.673867,0,0,0,1
1/10/2023 11:48,21.139063,42.673867,0,0,0,1
1/10/2023 11:54,21.139063,42.673867,0,0,0,1
1/10/2023 12:00,21.139063,42.673867,0,0,0,1
1/10/2023 12:05,21.139063,42.673867,0,0,0,1
1/10/2023 12:11,21.139063,42.673867,0,0,0,1
1/10/2023 12:17,21.139063,42.673867,0,0,0,1
1/10/2023 12:23,21.139063,42.673867,0,0,0,1
1/10/2023 12:29,21.139063,42.673867,0,0,0,1
1/10/2023 12:35,21.139063,42.673867,0,0,0,1
1/10/2023 12:40,21.139063,42.673867,0,0,0,1
1/10/2023 12:46,21.139063,42.673867,0,0,0,1
1/10/2023 12:52,21.139063,42.673867,0,0,0,1
1/10/2023 12:58,21.139063,42.673867,0,0,0,1
1/10/2023 13:04,21.139063,42.673867,0,0,0,1
1/10/2023 13:10,21.139063,42.673867,0,0,0,1
1/10/2023 13:15,21.139063,42.673867,0,0,0,1
1/10/2023 13:21,21.139063,42.673867,0,0,0,1
1/10/2023 13:27,21.139063,42.673867,0,0,0,1
1/10/2023 13:33,21.139063,42.673867,0,0,0,1
1/10/2023 13:39,21.139063,42.673867,0,0,0,1
1/10/2023 13:45,21.139063,42.673867,0,0,0,1
1/10/2023 13:50,21.139063,42.673867,0,0,0,1
1/10/2023 13:56,21.139063,42.673867,0,0,0,1
1/10/2023 14:02,21.139063,42.673867,0,0,0,1
1/10/2023 14:08,21.139063,42.673867,0,0,0,1
1/10/2023 14:14,21.139063,42.673867,0,0,0,1
1/10/2023 14:20,21.139063,42.673867,0,0,0,1
1/10/2023 14:25,21.139063,42.673867,0,0,0,1
1/10/2023 14:31,21.139063,42.673867,0,0,0,1
1/10/2023 14:37,21.139063,42.673867,0,0,0,1
1/10/2023 14:43,21.139063,42.673867,0,0,0,1
1/10/2023 14:49,21.139063,42.673867,0,0,0,1
1/10/2023 14:55,21.139063,42.673867,0,0,0,1
1/10/2023 15:00,21.139063,42.673867,0,0,0,1
1/10/2023 15:06,21.139063,42.673867,0,0,0,1
1/10/2023 15:12,21.139063,42.673867,0,0,0,1
1/10/2023 15:18,21.139063,42.673867,0,0,0,1
1/10/2023 15:24,21.139063,42.673867,0,0,0,1
1/10/2023 15:30,21.139063,42.673867,0,0,0,1
1/10/2023 15:35,21.139063,42.673867,0,0,0,1
1/10/2023 15:41,21.139063,42.673867,0,0,0,1
1/10/2023 15:47,21.139063,42.673867,0,0,0,1
1/10/2023 15:53,21.139063,42.673867,0,0,0,1
1/10/2023 15:59,21.139063,42.673867,0,0,0,1
1/10/2023 16:05,21.139063,42.673867,0,0,0,1
1/10/2023 16:10,21.139063,42.673867,0,0,0,1
1/10/2023 16:16,21.139063,42.673867,0,0,0,1
1/10/2023 16:22,21.139063,42.673867,0,0,0,1
1/10/2023 16:28,21.139063,42.673867,0,0,0,1
1/10/2023 16:34,21.139063,42.673867,0,0,0,1
1/10/2023 16:40,21.139063,42.673867,0,0,0,1
1/10/2023 16:45,21.139063,42.673867,0,0,0,1
1/10/2023 16:51,21.139063,42.673867,0,0,0,1
1/10/2023 16:57,21.139063,42.673867,0,0,0,1
1/10/2023 17:03,21.139063,42.673867,0,0,0,1
1/10/2023 17:09,21.139063,42.673867,0,0,0,1
1/10/2023 17:15,21.139063,42.673867,0,0,0,1
1/10/2023 17:20,21.139063,42.673867,0,0,0,1
1/10/2023 17:26,21.139063,42.673867,0,0,0,1
1/10/2023 17:32,21.139063,42.673867,0,0,0,1
1/10/2023 17:38,21.139063,42.673867,0,0,0,1
1/10/2023 17:44,21.139063,42.673867,0,0,0,1
1/10/2023 17:50,21.139063,42.673867,0,0,0,1
1/10/2023 17:55,21.139063,42.673867,0,0,0,1
1/10/2023 18:01,21.139063,42.673867,0,0,0,1
1/10/2023 18:07,21.139063,42.673867,0,0,0,1
1/10/2023 18:13,21.139063,42.673867,0,0,0,1
1/10/2023 18:19,21.139063,42.673867,0,0,0,1
1/10/2023 18:25,21.139063,42.673867,0,0,0,1
1/10/2023 18:30,21.139063,42.673867,0,0,0,1
1/10/2023 18:36,21.139063,42.673867,0,0,0,1
1/10/2023 18:42,21.139063,42.673867,0,0,0,1
1/10/2023 18:48,21.139063,42.673867,0,0,0,1
1/10/2023 18:54,21.139063,42.673867,0,0,0,1
1/10/2023 19:00,21.139063,42.673867,0,0,0,1
1/10/2023 19:05,21.139063,42.673867,0,0,0,1
1/10/2023 19:11,21.139063,42.673867,0,0,0,1
1/10/2023 19:17,21.139063,42.673867,0,0,0,1
1/10/2023 19:23,21.139063,42.673867,0,0,0,1
1/10/2023 19:29,21.139063,42.673867,0,0,0,1
1/10/2023 19:35,21.139063,42.673867,0,0,0,1
1/10/2023 19:40,21.139063,42.673867,0,0,0,1
1/10/2023 19:46,21.139063,42.673867,0,0,0,1
1/10/2023 19:52,21.139063,42.673867,0,0,0,1
